,Experiment,Level,algorithm,SSM
0,Exp_24_300,0,DBSCAN,0.8031339334650639
1,Exp_24_300,1,DBSCAN,0.0503391792973015
2,Exp_24_300,2,DBSCAN,0.0040840210634231
0,Exp_16_300,0,DBSCAN,0.8329225427535317
1,Exp_16_300,1,DBSCAN,0.0388265203391289
2,Exp_16_300,2,DBSCAN,0.0012002058193749
0,Exp_29_300,0,DBSCAN,0.7600904506435462
1,Exp_29_300,1,DBSCAN,0.4873726150364371
2,Exp_29_300,2,DBSCAN,0.0932304072239692
0,Exp_12_300,0,DBSCAN,0.8451006846973155
1,Exp_12_300,1,DBSCAN,0.0061384552519364
2,Exp_12_300,2,DBSCAN,0.0032654130666721
0,Exp_2_300,0,DBSCAN,0.830591049570392
1,Exp_2_300,1,DBSCAN,0.0209083616566626
2,Exp_2_300,2,DBSCAN,0.0020920248263905
0,Exp_9_300,0,DBSCAN,0.7356541139039636
1,Exp_9_300,1,DBSCAN,0.0877049416604667
2,Exp_9_300,2,DBSCAN,0.0070692753556014
0,Exp_5_300,0,DBSCAN,0.8264571848461348
1,Exp_5_300,1,DBSCAN,0.057650815308012
2,Exp_5_300,2,DBSCAN,0.0011528802885539
0,Exp_10_300,0,DBSCAN,0.8183154515317439
1,Exp_10_300,1,DBSCAN,0.0909321588175507
2,Exp_10_300,2,DBSCAN,0.002414071260648
0,Exp_3_300,0,DBSCAN,0.8009063371020193
1,Exp_3_300,1,DBSCAN,0.1674033947615252
2,Exp_3_300,2,DBSCAN,0.0054675364890692
0,Exp_17_300,0,DBSCAN,0.7519551993014436
1,Exp_17_300,1,DBSCAN,0.0998336759792437
2,Exp_17_300,2,DBSCAN,0.002563063476709
0,Exp_18_300,0,DBSCAN,0.7644009540863121
1,Exp_18_300,1,DBSCAN,0.2181772927403593
2,Exp_18_300,2,DBSCAN,0.1648980035257662
0,Exp_0_300,0,DBSCAN,0.8322194447258696
1,Exp_0_300,1,DBSCAN,0.03016930042753
2,Exp_0_300,2,DBSCAN,0.0217767531902264
0,Exp_7_300,0,DBSCAN,0.8127640780368811
1,Exp_7_300,1,DBSCAN,0.1399122940727776
2,Exp_7_300,2,DBSCAN,0.0050898856748758
0,Exp_28_300,0,DBSCAN,0.7321515709586267
1,Exp_28_300,1,DBSCAN,0.0333584138068638
2,Exp_28_300,2,DBSCAN,0.0064185082303474
0,Exp_27_300,0,DBSCAN,0.8101636046791219
1,Exp_27_300,1,DBSCAN,0.0153223516045737
2,Exp_27_300,2,DBSCAN,0.0003201368753833
0,Exp_13_300,0,DBSCAN,0.7411558946769146
1,Exp_13_300,1,DBSCAN,0.0001546973511542
2,Exp_13_300,2,DBSCAN,0.0303080077299701
0,Exp_1_300,0,DBSCAN,0.8078251555070334
1,Exp_1_300,1,DBSCAN,0.1795239933634034
2,Exp_1_300,2,DBSCAN,0.0317087099632229
0,Exp_25_300,0,DBSCAN,0.8583778456552603
1,Exp_25_300,1,DBSCAN,0.0091224620396439
2,Exp_25_300,2,DBSCAN,8.831542214272755e-05
0,Exp_11_300,0,DBSCAN,0.7841330501726524
1,Exp_11_300,1,DBSCAN,0.0623417193752202
2,Exp_11_300,2,DBSCAN,0.0020597837981889
0,Exp_4_300,0,DBSCAN,0.8279790675576842
1,Exp_4_300,1,DBSCAN,0.1422110529414794
2,Exp_4_300,2,DBSCAN,0.0133018501675782
0,Exp_15_300,0,DBSCAN,0.7884950991734275
1,Exp_15_300,1,DBSCAN,0.023468762165037
2,Exp_15_300,2,DBSCAN,0.0349468299847552
0,Exp_21_300,0,DBSCAN,0.7816835530634624
1,Exp_21_300,1,DBSCAN,0.0773036483135122
2,Exp_21_300,2,DBSCAN,0.109174541102593
0,Exp_22_300,0,DBSCAN,0.8360661428069895
1,Exp_22_300,1,DBSCAN,0.7625758218749127
2,Exp_22_300,2,DBSCAN,0.0594152825396765
0,Exp_8_300,0,DBSCAN,0.8426096537772855
1,Exp_8_300,1,DBSCAN,0.0400637045245309
2,Exp_8_300,2,DBSCAN,0.0243707253130855
0,Exp_23_300,0,DBSCAN,0.7863578956963616
1,Exp_23_300,1,DBSCAN,0.5413189250594155
2,Exp_23_300,2,DBSCAN,0.2471651921139746
0,Exp_30_300,0,DBSCAN,0.7630353244938619
1,Exp_30_300,1,DBSCAN,0.0546652009156142
2,Exp_30_300,2,DBSCAN,0.0473048984651156
0,Exp_14_300,0,DBSCAN,0.8212650397176412
1,Exp_14_300,1,DBSCAN,0.2636141787527061
2,Exp_14_300,2,DBSCAN,0.0927000581684608
0,Exp_34_400,0,DBSCAN,0.8315294129104442
1,Exp_34_400,1,DBSCAN,0.007671780564039
2,Exp_34_400,2,DBSCAN,0.0245003436172834
0,Exp_33_400,0,DBSCAN,0.8356857519208554
1,Exp_33_400,1,DBSCAN,0.0071081829495171
2,Exp_33_400,2,DBSCAN,0.000161074218688
0,Exp_31_400,0,DBSCAN,0.8414106236577199
1,Exp_31_400,1,DBSCAN,0.0843735098069902
2,Exp_31_400,2,DBSCAN,0.0046964397243721
0,Exp_32_400,0,DBSCAN,0.7963317910946325
1,Exp_32_400,1,DBSCAN,0.0157304961821526
2,Exp_32_400,2,DBSCAN,0.0015653117483187
0,Exp_20_400,0,DBSCAN,0.8354873712141377
1,Exp_20_400,1,DBSCAN,0.0402976428184431
2,Exp_20_400,2,DBSCAN,0.0033482382673836
0,Exp_6_400,0,DBSCAN,0.7952891648348527
1,Exp_6_400,1,DBSCAN,0.0636375016318834
2,Exp_6_400,2,DBSCAN,0.0132337419347357
0,Exp_26_400,0,DBSCAN,0.8685296613171357
1,Exp_26_400,1,DBSCAN,0.7547973803360961
2,Exp_26_400,2,DBSCAN,0.0770072854529378
0,Exp_19_400,0,DBSCAN,0.7957919039674411
1,Exp_19_400,1,DBSCAN,0.0224957169243973
2,Exp_19_400,2,DBSCAN,0.0022739886170713
0,Exp_24_400,0,DBSCAN,0.8141101909674862
1,Exp_24_400,1,DBSCAN,0.0174165560939872
2,Exp_24_400,2,DBSCAN,0.0020324867389207
0,Exp_16_400,0,DBSCAN,0.7653356054159459
1,Exp_16_400,1,DBSCAN,0.0258598738919629
2,Exp_16_400,2,DBSCAN,0.0023943788134019
0,Exp_29_400,0,DBSCAN,0.7999851490128387
1,Exp_29_400,1,DBSCAN,0.2480196705477088
2,Exp_29_400,2,DBSCAN,0.0432416705185387
0,Exp_12_400,0,DBSCAN,0.8118435756036804
1,Exp_12_400,1,DBSCAN,0.0218298753475782
2,Exp_12_400,2,DBSCAN,0.0031529875461229
0,Exp_2_400,0,DBSCAN,0.7275844357363515
1,Exp_2_400,1,DBSCAN,0.0050868804579808
2,Exp_2_400,2,DBSCAN,0.0006404486417073
0,Exp_9_400,0,DBSCAN,0.752513287060137
1,Exp_9_400,1,DBSCAN,0.0445123727281064
2,Exp_9_400,2,DBSCAN,0.0115588532271568
0,Exp_5_400,0,DBSCAN,0.7755330801584579
1,Exp_5_400,1,DBSCAN,0.0937191970316345
2,Exp_5_400,2,DBSCAN,0.0114854588749644
0,Exp_10_400,0,DBSCAN,0.8567854356222652
1,Exp_10_400,1,DBSCAN,0.0231462530598138
2,Exp_10_400,2,DBSCAN,0.0006320594752147
0,Exp_3_400,0,DBSCAN,0.7928462148507308
1,Exp_3_400,1,DBSCAN,0.0230474794573185
2,Exp_3_400,2,DBSCAN,0.0007795812101789
0,Exp_17_400,0,DBSCAN,0.8129023855618805
1,Exp_17_400,1,DBSCAN,0.0428880231075325
2,Exp_17_400,2,DBSCAN,0.0133036112334162
0,Exp_18_400,0,DBSCAN,0.8263145272384027
1,Exp_18_400,1,DBSCAN,0.0479458855018275
2,Exp_18_400,2,DBSCAN,0.002895521252321
0,Exp_0_400,0,DBSCAN,0.7872175813807266
1,Exp_0_400,1,DBSCAN,0.0390188462536325
2,Exp_0_400,2,DBSCAN,0.004498975376368
0,Exp_7_400,0,DBSCAN,0.821648590303968
1,Exp_7_400,1,DBSCAN,0.0122478634782046
2,Exp_7_400,2,DBSCAN,0.0010893573942294
0,Exp_28_400,0,DBSCAN,0.8219840786732915
1,Exp_28_400,1,DBSCAN,0.1388541559049938
2,Exp_28_400,2,DBSCAN,0.0403612042209378
0,Exp_27_400,0,DBSCAN,0.7308098215645036
1,Exp_27_400,1,DBSCAN,0.0277759013535088
2,Exp_27_400,2,DBSCAN,0.003332460351389
0,Exp_13_400,0,DBSCAN,0.8152572721407964
1,Exp_13_400,1,DBSCAN,0.1587074278537212
2,Exp_13_400,2,DBSCAN,0.0372211445735973
0,Exp_1_400,0,DBSCAN,0.8200257166223842
1,Exp_1_400,1,DBSCAN,0.0022441471544661
2,Exp_1_400,2,DBSCAN,0.0001369456706036
0,Exp_25_400,0,DBSCAN,0.8347971006734067
1,Exp_25_400,1,DBSCAN,0.1182476814132666
2,Exp_25_400,2,DBSCAN,0.0029337651109356
0,Exp_11_400,0,DBSCAN,0.7965160823851655
1,Exp_11_400,1,DBSCAN,0.0340023056083085
2,Exp_11_400,2,DBSCAN,0.0021673815368682
0,Exp_4_400,0,DBSCAN,0.8814192569432299
1,Exp_4_400,1,DBSCAN,0.0487861417576067
2,Exp_4_400,2,DBSCAN,0.0061939184721837
0,Exp_15_400,0,DBSCAN,0.8043563377010997
1,Exp_15_400,1,DBSCAN,0.0276639594175677
2,Exp_15_400,2,DBSCAN,0.0017201739008792
0,Exp_21_400,0,DBSCAN,0.8072937654492848
1,Exp_21_400,1,DBSCAN,0.0188494647960053
2,Exp_21_400,2,DBSCAN,0.009455998130399
0,Exp_22_400,0,DBSCAN,0.8224129368228915
1,Exp_22_400,1,DBSCAN,0.1683844026964707
2,Exp_22_400,2,DBSCAN,0.0416691178580864
0,Exp_8_400,0,DBSCAN,0.7571745528553087
1,Exp_8_400,1,DBSCAN,0.2644655194733106
2,Exp_8_400,2,DBSCAN,0.0140271862176355
0,Exp_23_400,0,DBSCAN,0.8324298370931534
1,Exp_23_400,1,DBSCAN,0.1725224595122339
2,Exp_23_400,2,DBSCAN,0.0375571437790846
0,Exp_30_400,0,DBSCAN,0.6942280833189208
1,Exp_30_400,1,DBSCAN,0.1610602301721095
2,Exp_30_400,2,DBSCAN,0.0024152003679149
0,Exp_14_400,0,DBSCAN,0.8519790615285642
1,Exp_14_400,1,DBSCAN,0.0367059648442805
2,Exp_14_400,2,DBSCAN,0.0031343945563131
0,Exp_34_500,0,DBSCAN,0.7871739638182446
1,Exp_34_500,1,DBSCAN,0.0590594909610038
2,Exp_34_500,2,DBSCAN,0.0057480744932966
0,Exp_33_500,0,DBSCAN,0.7875590485909293
1,Exp_33_500,1,DBSCAN,0.0473004773827134
2,Exp_33_500,2,DBSCAN,0.0028998596772753
0,Exp_31_500,0,DBSCAN,0.8243171229140953
